symbol,date,returns,year
ARI,2021-12-30,0.28578763261470774,2021
ARLO,2018-12-31,-0.5484162895927602,2018
ARLO,2019-12-31,-0.5781563126252505,2019
ARLO,2020-12-31,0.850356294536817,2020
ARLO,2021-12-30,0.3427471116816432,2021
ASH,2013-12-31,0.16467338955375488,2013
ASH,2014-12-31,0.2505387658557019,2014
ASH,2015-12-31,-0.1314874992850279,2015
ASH,2016-12-30,0.0796089501957804,2016
ASH,2017-12-29,0.3495249871904025,2017
ASH,2018-12-31,0.008960186568300887,2018
ASH,2019-12-31,0.09418970098341495,2019
ASH,2020-12-31,0.05048075001766117,2020
ASH,2021-12-30,0.36046288679204475,2021
ASMB,2013-12-31,0.5983263598326363,2013
ASMB,2014-12-31,-0.5884816753926702,2014
ASMB,2015-12-31,-0.04452926208651409,2015
ASMB,2016-12-30,0.6178428761651134,2016
ASMB,2017-12-29,2.7242798353909463,2017
ASMB,2018-12-31,-0.5001104751381216,2018
ASMB,2019-12-31,-0.0954908003761803,2019
ASMB,2020-12-31,-0.7043010608162786,2020
ASMB,2021-12-30,-0.6214876033057851,2021
ASRT,2013-12-31,0.6583072100313481,2013
ASRT,2014-12-31,0.522684357277883,2014
ASRT,2015-12-31,0.12538787630701798,2015
ASRT,2016-12-30,-0.006067223086068441,2016
ASRT,2017-12-29,-0.5532741383664224,2017
ASRT,2018-12-31,-0.5515528089579873,2018
ASRT,2019-12-31,-0.6537396121883656,2019
ASRT,2020-12-31,-0.712,2020
ASRT,2021-12-30,0.5208333333333333,2021
ATEN,2014-12-31,-0.7310302080991662,2014
ATEN,2015-12-31,0.5045870314390748,2015
ATEN,2016-12-30,0.266768488704191,2016
ATEN,2017-12-29,-0.07099897644866304,2017
ATEN,2018-12-31,-0.19170973078978915,2018
ATEN,2019-12-31,0.10096144804398288,2019
ATEN,2020-12-31,0.43522573041765855,2020
ATEN,2021-12-30,0.6795192444828657,2021
ATGE,2013-12-31,0.5060358492705685,2013
ATGE,2014-12-31,0.347663965383068,2014
ATGE,2015-12-31,-0.45979013038734984,2015
ATGE,2016-12-30,0.2527014787578372,2016
ATGE,2017-12-29,0.34775633500780967,2017
ATGE,2018-12-31,0.12532701843821692,2018
ATGE,2019-12-31,-0.2609889898562975,2019
ATGE,2020-12-31,-0.029167857330058444,2020
ATGE,2021-12-30,-0.12724600508848283,2021
ATHX,2013-12-31,1.1739130434782612,2013
ATHX,2014-12-31,-0.368,2014
ATHX,2015-12-31,-0.3481012658227848,2015
ATHX,2016-12-30,0.4854368932038835,2016
ATHX,2017-12-29,0.18300653594771243,2017
ATHX,2018-12-31,-0.20441988950276246,2018
ATHX,2019-12-31,-0.14583333333333326,2019
ATHX,2020-12-31,0.4227642276422765,2020
ATHX,2021-12-30,-0.4971428571428571,2021
ATSG,2013-12-31,0.8990610328638498,2013
ATSG,2014-12-31,0.05809641532756493,2014
ATSG,2015-12-31,0.17757009345794383,2015
ATSG,2016-12-30,0.5833333333333335,2016
ATSG,2017-12-29,0.44987462406015033,2017
ATSG,2018-12-31,-0.014261020495290322,2018
ATSG,2019-12-31,0.02849627481351491,2019
